Mass/Charge	Intensity
161.28	0
161.4	0
161.52	0
161.64	0
161.76	0
161.88	0
162	0
162.12	0
162.24	0
162.36	0
162.48	0
162.6	0
162.72	0
162.84	0
162.96	0
163.08	0
163.2	0
163.32	0
163.44	0
163.56	0
163.68	0
163.8	0
163.92	0
164.04	0
164.16	0
164.28	0
164.4	0
164.52	0
164.64	0
164.76	0
164.88	0
165	0
165.12	0
165.24	0
165.36	0
165.48	0
165.6	0
165.72	0
165.84	0
165.96	0
166.08	0
166.2	0
166.32	0
166.44	0
166.56	0
166.68	0
166.8	0
166.92	0
167.04	0
167.16	0
167.28	0
167.4	0
167.52	0
167.64	0
167.76	0
167.88	0
168	0
168.12	0
168.24	0
168.36	0
168.48	0
168.6	0
168.72	0
168.84	0
168.96	0
169.08	0
169.2	0
169.32	0
169.44	0
169.56	0
169.68	0
169.8	0
169.92	0
170.04	0
170.16	0
170.28	0
170.4	0
170.52	0
170.64	0
170.76	0
170.88	0
171	0
171.12	0
171.24	0
171.36	0
171.48	0
171.6	0
171.72	0
171.84	0
171.96	0
172.08	0
172.2	0
172.32	0
172.44	0
172.56	0
172.68	0
172.8	0
172.92	0
173.04	0
173.16	0
173.28	0
173.4	0
173.52	0
173.64	0
173.76	0
173.88	0
174	11904.7618012816
174.12	154761.903416661
174.24	23809.5236025632
174.36	0
174.48	0
174.6	0
174.72	0
174.84	0
174.96	0
175.08	0
175.2	0
175.32	0
175.44	0
175.56	0
175.68	0
175.8	11904.7618012816
175.92	0
176.04	23809.5236025632
176.16	47619.0472051265
176.28	47619.0472051265
176.4	0
176.52	23809.5236025632
176.64	0
176.76	35714.2854038449
176.88	0
177	0
177.12	0
177.24	0
177.36	0
177.48	0
177.6	0
177.72	0
177.84	0
177.96	0
178.08	0
178.2	0
178.32	0
178.44	0
178.56	0
178.68	0
178.8	0
178.92	0
179.04	0
179.16	0
179.28	0
179.4	0
179.52	0
179.64	0
179.76	0
179.88	0
180	0
180.12	0
180.24	0
180.36	0
180.48	0
180.6	0
180.72	0
180.84	0
180.96	0
181.08	0
181.2	0
181.32	0
181.44	0
181.56	0
181.68	0
181.8	0
181.92	0
182.04	0
182.16	0
182.28	0
182.4	0
182.52	0
182.64	0
182.76	0
182.88	0
183	0
183.12	0
183.24	0
183.36	0
183.48	0
183.6	0
183.72	0
183.84	0
183.96	0
184.08	0
184.2	0
184.32	0
184.44	0
184.56	0
184.68	0
184.8	0
184.92	0
185.04	0
185.16	0
185.28	0
185.4	0
185.52	0
185.64	0
185.76	0
185.88	0
186	0
186.12	0
186.24	0
186.36	0
186.48	0
186.6	0
186.72	0
186.84	0
186.96	0
187.08	0
187.2	0
187.32	0
187.44	0
187.56	0
187.68	0
187.8	23809.5236025632
187.92	11904.7618012816
188.04	119047.618012816
188.16	619047.613666644
188.28	380952.377641012
188.4	166666.665217943
188.52	95238.094410253
188.64	11904.7618012816
188.76	0
188.88	0
189	0
189.12	11904.7618012816
189.24	23809.5236025632
189.36	0
189.48	11904.7618012816
189.6	0
189.72	0
189.84	0
189.96	0
190.08	0
190.2	0
190.32	11904.7618012816
190.44	0
190.56	0
190.68	0
190.8	0
190.92	0
191.04	11904.7618012816
191.16	0
191.28	0
191.4	0
191.52	0
191.64	0
191.76	0
191.88	0
192	0
192.12	0
192.24	0
192.36	0
192.48	0
192.6	0
192.72	0
192.84	0
192.96	0
193.08	0
193.2	0
193.32	0
193.44	0
193.56	0
193.68	0
193.8	0
193.92	0
194.04	0
194.16	0
194.28	0
194.4	0
194.52	0
194.64	0
194.76	0
194.88	0
195	0
195.12	0
195.24	0
195.36	0
195.48	0
195.6	0
195.72	0
195.84	0
195.96	0
196.08	0
196.2	0
196.32	0
196.44	0
196.56	0
196.68	0
196.8	0
196.92	0
197.04	0
197.16	0
197.28	0
197.4	0
197.52	0
197.64	0
197.76	0
197.88	0
198	0
198.12	0
198.24	0
198.36	0
198.48	0
198.6	0
198.72	0
198.84	0
198.96	0
199.08	0
199.2	0
199.32	0
199.44	0
199.56	0
199.68	0
199.8	0
199.92	0
200.04	0
200.16	0
200.28	0
200.4	0
200.52	0
200.64	0
200.76	0
200.88	0
201	0
201.12	0
201.24	0
201.36	0
201.48	0
201.6	0
201.72	0
201.84	0
201.96	95238.094410253
202.08	333333.330435885
202.2	833333.326089713
202.32	464285.710249983
202.44	119047.618012816
202.56	47619.0472051265
202.68	0
202.8	59523.8090064081
202.92	0
203.04	0
203.16	11904.7618012816
203.28	0
203.4	0
203.52	0
203.64	0
203.76	0
203.88	0
204	0
204.12	0
204.24	0
204.36	0
204.48	0
204.6	0
204.72	0
204.84	0
204.96	0
205.08	0
205.2	0
205.32	0
205.44	0
205.56	0
205.68	0
205.8	0
205.92	0
206.04	0
206.16	0
206.28	0
206.4	11904.7618012816
206.52	0
206.64	0
206.76	0
206.88	0
207	0
207.12	0
207.24	0
207.36	0
207.48	0
207.6	0
207.72	0
207.84	0
207.96	0
208.08	0
208.2	0
208.32	0
208.44	0
208.56	0
208.68	0
208.8	0
208.92	0
209.04	0
209.16	0
209.28	0
209.4	0
209.52	0
209.64	0
209.76	0
209.88	0
210	0
210.12	0
210.24	0
210.36	0
210.48	0
210.6	0
210.72	0
210.84	0
210.96	0
211.08	0
211.2	0
211.32	0
211.44	0
211.56	0
211.68	0
211.8	0
211.92	0
212.04	0
212.16	0
212.28	0
212.4	0
212.52	0
212.64	0
212.76	0
212.88	0
213	0
213.12	0
213.24	0
213.36	0
213.48	0
213.6	0
213.72	0
213.84	0
213.96	0
214.08	0
214.2	0
214.32	0
214.44	0
214.56	0
214.68	0
214.8	0
214.92	0
215.04	0
215.16	0
215.28	0
215.4	0
215.52	0
215.64	0
215.76	0
215.88	0
216	0
216.12	0
216.24	0
216.36	0
216.48	0
216.6	0
216.72	0
216.84	0
216.96	0
217.08	0
217.2	0
217.32	0
217.44	0
217.56	0
217.68	0
217.8	0
217.92	0
218.04	0
218.16	0
218.28	0
218.4	0
218.52	0
218.64	0
218.76	0
218.88	0
219	0
219.12	11904.7618012816
219.24	0
219.36	0
219.48	0
219.6	0
219.72	0
219.84	0
219.96	0
220.08	0
220.2	0
220.32	0
220.44	0
220.56	0
220.68	0
220.8	0
220.92	0
221.04	0
221.16	0
221.28	0
221.4	0
221.52	0
221.64	0
221.76	0
221.88	0
222	0
222.12	11904.7618012816
222.24	0
222.36	0
222.48	0
222.6	0
222.72	0
222.84	0
222.96	0
223.08	0
223.2	0
223.32	0
223.44	0
223.56	0
223.68	0
